campaign_id,customer_segment,campaign_name,campaign_type,start_date,end_date,target_audience,offer_details,recommended_product_id,recommended_product_name,campaign_budget,total_customers_reached,total_conversions,conversion_rate,total_campaign_cost,total_revenue_generated,ROI,customer_lifetime_value,cost_per_conversion,created_at
1,High-Value,Wealth Management Campaign for High-Value,Email,2023-04-14,2023-05-15,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,76467.18,8045,189,0.0235,79645.43,210948.37,1.6486,507.9,421.23,2024-12-11
2,Retired,Wealth Management Campaign for Retired,Direct Mail,2024-02-15,2024-03-31,Retired customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for Retired customers.,107,Wealth Management,41957.52,6305,386,0.0533,78893.08,88220.25,0.1182,1826.18,176.26,2024-12-09
3,Middle-Market,Auto Loan Campaign for Middle-Market,SMS,2023-08-13,2023-09-28,Middle-Market customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Middle-Market customers.,106,Auto Loan,29044.51,1724,132,0.0663,41048.39,59656.96,0.4533,1170.53,404.58,2024-12-12
4,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,SMS,2022-10-06,2022-11-21,Budget-Conscious customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Budget-Conscious customers.,106,Auto Loan,56213.54,5617,231,0.039,57924.52,143747.98,1.4816,2515.74,295.76,2024-12-10
5,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2023-01-19,2023-02-27,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,50629.23,2354,83,0.0363,61443.98,125097.14,1.036,3650.45,887.66,2024-12-22
6,High-Value,Wealth Management Campaign for High-Value,Email,2023-07-01,2023-08-01,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,52815.78,3885,177,0.0472,57464.39,140641.68,1.4475,641.38,315.04,2024-12-08
7,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-12-05,2023-01-07,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,56995.77,3831,201,0.0636,19266.71,39407.93,1.0454,1823.83,96.9,2024-12-14
8,Retired,Mortgage Campaign for Retired,Email,2022-12-17,2023-01-20,Retired customers interested in Mortgage solutions.,Special offer on our Mortgage tailored for Retired customers.,103,Mortgage,42347.83,7932,292,0.0384,82038.38,136540.27,0.6643,2576.84,269.79,2024-12-29
9,Middle-Market,Auto Loan Campaign for Middle-Market,SMS,2022-12-18,2023-01-31,Middle-Market customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Middle-Market customers.,106,Auto Loan,38423.2,3781,238,0.06,22337.63,42885.46,0.9199,3481.24,110.38,2024-12-26
10,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2022-05-28,2022-07-04,Young Professionals customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Young Professionals customers.,106,Auto Loan,55044.62,2319,70,0.033,80717.73,239166.37,1.963,4223.11,1304.26,2024-12-26
11,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2024-03-04,2024-04-08,Young Professionals customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Young Professionals customers.,106,Auto Loan,22323.62,7143,224,0.0354,11664.83,17725.19,0.5195,1130.05,56.59,2024-12-20
12,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2023-01-10,2023-02-16,Middle-Market customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Middle-Market customers.,102,Personal Loan,31454.59,9448,428,0.0452,64739.61,119803.27,0.8505,3234.01,151.66,2024-12-15
13,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2023-09-22,2023-11-01,Middle-Market customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Middle-Market customers.,102,Personal Loan,34848.2,9200,559,0.0651,15438.38,24586.71,0.5926,4475.42,25.83,2024-12-08
14,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-03-19,2022-05-09,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,72040.0,9369,371,0.0464,51959.48,145174.98,1.794,746.24,146.12,2024-12-24
15,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Mobile App Notifications,2022-07-26,2022-08-25,Budget-Conscious customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Budget-Conscious customers.,106,Auto Loan,73215.89,9870,242,0.0264,37128.35,107987.31,1.9085,1541.6,174.21,2024-12-25
16,Retired,Savings Account Campaign for Retired,Email,2024-05-10,2024-07-07,Retired customers interested in Savings Account solutions.,Special offer on our Savings Account tailored for Retired customers.,104,Savings Account,43752.39,1756,81,0.0473,56678.28,93864.32,0.6561,3029.36,689.97,2024-12-16
17,Retired,Mortgage Campaign for Retired,Direct Mail,2023-04-14,2023-06-07,Retired customers interested in Mortgage solutions.,Special offer on our Mortgage tailored for Retired customers.,103,Mortgage,35432.88,3332,91,0.0247,41233.32,59043.32,0.4319,4357.28,379.02,2024-12-05
18,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-08-11,2022-10-08,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,56436.61,5442,354,0.0663,40957.48,63327.12,0.5462,4281.68,139.2,2024-12-29
19,Retired,Savings Account Campaign for Retired,Email,2022-04-14,2022-06-04,Retired customers interested in Savings Account solutions.,Special offer on our Savings Account tailored for Retired customers.,104,Savings Account,42404.79,9660,508,0.0562,71998.18,191654.16,1.6619,4969.69,132.8,2024-12-10
20,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2022-08-04,2022-09-25,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,97894.09,3951,277,0.0789,26958.25,72952.67,1.7061,4939.78,106.02,2024-12-21
21,Retired,Mortgage Campaign for Retired,Direct Mail,2023-09-29,2023-11-15,Retired customers interested in Mortgage solutions.,Special offer on our Mortgage tailored for Retired customers.,103,Mortgage,48526.88,2221,126,0.0537,67394.88,137841.47,1.0453,3855.95,424.76,2024-12-04
22,Retired,Mortgage Campaign for Retired,Email,2023-08-22,2023-10-05,Retired customers interested in Mortgage solutions.,Special offer on our Mortgage tailored for Retired customers.,103,Mortgage,60719.19,5779,148,0.0228,71907.61,118215.04,0.644,2301.21,546.2,2024-12-26
23,Young Professionals,Personal Loan Campaign for Young Professionals,SMS,2022-06-27,2022-08-13,Young Professionals customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Young Professionals customers.,102,Personal Loan,57894.85,7903,395,0.047,64051.94,74440.54,0.1622,4468.88,192.91,2024-12-09
24,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2023-12-02,2024-01-27,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,99375.25,6699,369,0.0579,8860.28,12866.17,0.4521,4746.72,27.96,2024-12-27
25,Middle-Market,Auto Loan Campaign for Middle-Market,Email,2022-03-31,2022-05-21,Middle-Market customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Middle-Market customers.,106,Auto Loan,26423.03,1592,115,0.0716,32428.51,40970.23,0.2634,4098.02,285.92,2024-12-18
26,Middle-Market,Auto Loan Campaign for Middle-Market,Email,2023-04-05,2023-05-09,Middle-Market customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Middle-Market customers.,106,Auto Loan,38874.57,8608,492,0.0546,87826.68,216271.17,1.4625,1036.27,186.95,2024-12-06
27,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Mobile App Notifications,2023-05-07,2023-06-20,Budget-Conscious customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Budget-Conscious customers.,106,Auto Loan,61929.5,9684,306,0.0369,25802.4,57510.23,1.2289,1076.05,88.57,2024-12-01
28,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,SMS,2023-06-03,2023-07-21,Budget-Conscious customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Budget-Conscious customers.,106,Auto Loan,64150.09,5881,277,0.0419,35634.5,54523.4,0.5301,3164.4,162.25,2024-12-17
29,Middle-Market,Credit Card Campaign for Middle-Market,Mobile App Notifications,2022-01-16,2022-02-17,Middle-Market customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Middle-Market customers.,101,Credit Card,32090.17,2194,164,0.0755,48010.27,65699.98,0.3685,2769.45,355.55,2024-12-25
30,High-Value,Wealth Management Campaign for High-Value,Email,2022-09-14,2022-10-21,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,94808.45,7410,162,0.0226,50241.7,93704.07,0.8651,3184.59,301.34,2024-12-04
31,High-Value,Investment Product Campaign for High-Value,Email,2024-03-18,2024-05-11,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,79767.09,3450,177,0.0493,74902.58,203135.91,1.712,4726.75,441.3,2024-12-04
32,Budget-Conscious,Credit Card Campaign for Budget-Conscious,SMS,2023-10-16,2023-11-29,Budget-Conscious customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Budget-Conscious customers.,101,Credit Card,67053.79,4693,298,0.0591,16698.05,38973.94,1.334,4753.02,67.43,2024-12-22
33,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,SMS,2023-10-09,2023-11-11,Budget-Conscious customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Budget-Conscious customers.,102,Personal Loan,57153.65,3588,179,0.0509,51434.75,107269.35,1.0855,544.48,316.06,2024-12-29
34,Middle-Market,Credit Card Campaign for Middle-Market,Email,2022-10-30,2022-12-10,Middle-Market customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Middle-Market customers.,101,Credit Card,53790.78,6612,265,0.0394,97885.75,187872.66,0.9193,590.46,375.79,2024-12-17
35,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2022-08-14,2022-10-10,Young Professionals customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Young Professionals customers.,101,Credit Card,50832.01,3204,147,0.0464,56598.58,78641.23,0.3895,3224.38,427.75,2024-12-11
36,Retired,Savings Account Campaign for Retired,Direct Mail,2022-10-26,2022-12-15,Retired customers interested in Savings Account solutions.,Special offer on our Savings Account tailored for Retired customers.,104,Savings Account,49237.87,9649,744,0.0709,59513.51,96088.17,0.6146,4965.16,65.29,2024-12-15
37,Middle-Market,Savings Account Campaign for Middle-Market,SMS,2022-07-14,2022-09-04,Middle-Market customers interested in Savings Account solutions.,Special offer on our Savings Account tailored for Middle-Market customers.,104,Savings Account,51205.41,7140,487,0.0636,32800.38,60062.91,0.8312,909.89,80.88,2024-12-11
38,Middle-Market,Credit Card Campaign for Middle-Market,SMS,2022-04-12,2022-06-08,Middle-Market customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Middle-Market customers.,101,Credit Card,52160.78,2013,102,0.0465,60213.33,130395.63,1.1656,4906.51,721.2,2024-12-20
39,Budget-Conscious,Credit Card Campaign for Budget-Conscious,Email,2023-07-21,2023-09-03,Budget-Conscious customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Budget-Conscious customers.,101,Credit Card,65988.74,6820,307,0.0407,66058.64,153597.47,1.3252,3110.6,238.01,2024-12-18
40,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2022-12-14,2023-01-21,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,82932.37,8039,218,0.0292,14875.55,31439.64,1.1135,1715.48,77.61,2024-12-05
41,Middle-Market,Personal Loan Campaign for Middle-Market,Mobile App Notifications,2023-09-23,2023-11-09,Middle-Market customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Middle-Market customers.,102,Personal Loan,43799.74,8029,361,0.0507,11578.63,33718.41,1.9121,1866.69,34.85,2024-12-20
42,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,SMS,2023-01-03,2023-02-14,Budget-Conscious customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Budget-Conscious customers.,102,Personal Loan,21828.98,6107,433,0.0635,32904.77,69741.71,1.1195,1696.17,94.93,2024-12-09
43,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2022-12-16,2023-01-22,Young Professionals customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Young Professionals customers.,101,Credit Card,52295.44,5420,411,0.0773,32757.16,56521.79,0.7255,4544.31,87.45,2024-12-25
44,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2024-01-19,2024-02-28,Middle-Market customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Middle-Market customers.,102,Personal Loan,32024.03,9945,300,0.0294,17692.32,51542.34,1.9133,2395.68,60.61,2024-12-06
45,Young Professionals,Credit Card Campaign for Young Professionals,Mobile App Notifications,2023-08-03,2023-09-19,Young Professionals customers interested in Credit Card solutions.,Special offer on our Credit Card tailored for Young Professionals customers.,101,Credit Card,69785.29,1516,64,0.045,79596.64,133438.74,0.6764,4808.87,1445.32,2024-12-16
46,Young Professionals,Auto Loan Campaign for Young Professionals,SMS,2024-03-29,2024-05-06,Young Professionals customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Young Professionals customers.,106,Auto Loan,32011.67,2074,127,0.0582,29679.8,40329.11,0.3588,3327.83,276.42,2024-12-21
47,Young Professionals,Personal Loan Campaign for Young Professionals,Mobile App Notifications,2022-02-22,2022-04-16,Young Professionals customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Young Professionals customers.,102,Personal Loan,65458.28,7479,316,0.049,63616.46,201703.88,2.1706,3400.54,212.6,2024-12-05
48,Retired,Savings Account Campaign for Retired,Email,2023-11-07,2024-01-04,Retired customers interested in Savings Account solutions.,Special offer on our Savings Account tailored for Retired customers.,104,Savings Account,38795.96,4328,229,0.0488,87743.48,201131.23,1.2923,4389.62,415.33,2024-12-26
49,High-Value,Investment Product Campaign for High-Value,Email,2022-12-03,2023-01-16,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,82668.23,6413,183,0.0281,61440.19,133186.76,1.1677,2562.05,342.86,2024-12-17
50,Young Professionals,Auto Loan Campaign for Young Professionals,SMS,2022-04-10,2022-06-08,Young Professionals customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Young Professionals customers.,106,Auto Loan,49339.39,6080,136,0.0214,85152.91,98018.62,0.1511,1065.27,732.87,2024-12-28
